Time,Google Trend,CCPI (A) - All Items,CCPI (A) - Basic Food,CCPI (A) - Meals out and takeaway food,Unemployment
01/05/2020,0,0.022,0.641,0.781,0.122
01/12/2020,0,0.022,0.641,0.781,0.122
1/19/2020,0,0.022,0.641,0.781,0.122
1/26/2020,0.05,0.022,0.641,0.781,0.122
02/02/2020,0.03,0.956,0.563,0.625,0.22
02/09/2020,0,0.956,0.563,0.625,0.22
2/16/2020,0,0.956,0.563,0.625,0.22
2/23/2020,0.02,0.956,0.563,0.625,0.22
03/01/2020,0,0.46,0.126,0.531,0.39
03/08/2020,0,0.46,0.126,0.531,0.39
3/15/2020,0,0.46,0.126,0.531,0.39
3/22/2020,0.02,0.46,0.126,0.531,0.39
3/29/2020,0,0.46,0.126,0.531,0.39
04/05/2020,0.03,0.482,0.408,0.531,0.634
04/12/2020,0.02,0.482,0.408,0.531,0.634
4/19/2020,0,0.482,0.408,0.531,0.634
4/26/2020,0,0.482,0.408,0.531,0.634
05/03/2020,0,0.453,0.233,0.563,0.829
05/10/2020,0,0.453,0.233,0.563,0.829
5/17/2020,0,0.453,0.233,0.563,0.829
5/24/2020,0,0.453,0.233,0.563,0.829
5/31/2020,0.02,0.453,0.233,0.563,0.829
06/07/2020,0,0.467,0.311,0.594,0.878
6/14/2020,0,0.467,0.311,0.594,0.878
6/21/2020,0,0.467,0.311,0.594,0.878
6/28/2020,0,0.467,0.311,0.594,0.878
07/05/2020,0,0,0.35,0,0.878
07/12/2020,0,0,0.35,0,0.878
7/19/2020,0,0,0.35,0,0.878
7/26/2020,0.04,0,0.35,0,0.878
08/02/2020,0.02,0.927,0.379,0.563,0.927
08/09/2020,0,0.927,0.379,0.563,0.927
8/16/2020,0,0.927,0.379,0.563,0.927
8/23/2020,0,0.927,0.379,0.563,0.927
8/30/2020,0,0.927,0.379,0.563,0.927
09/06/2020,0,0.051,0.311,1,0.951
9/13/2020,0.02,0.051,0.311,1,0.951
9/20/2020,0.02,0.051,0.311,1,0.951
9/27/2020,0.04,0.051,0.311,1,0.951
10/04/2020,0.04,0.964,0.379,0.656,0.951
10/11/2020,0,0.964,0.379,0.656,0.951
10/18/2020,0.02,0.964,0.379,0.656,0.951
10/25/2020,0,0.964,0.379,0.656,0.951
11/01/2020,0.05,0.489,0.311,0.656,0.878
11/08/2020,0,0.489,0.311,0.656,0.878
11/15/2020,0,0.489,0.311,0.656,0.878
11/22/2020,0.14,0.489,0.311,0.656,0.878
11/29/2020,0.06,0.489,0.311,0.656,0.878
12/06/2020,0,0.416,0.33,0.344,0.902
12/13/2020,0,0.416,0.33,0.344,0.902
12/20/2020,0.02,0.416,0.33,0.344,0.902
