Name,Address,Score
泰風情,衙前圍道62號,3.7
張和隆飯店,九龍城賈炳達道65號,4.8
Aeon,賈炳達道128號,3.8
Taste ,九龍塘達之路80號,4.1
千味家,九龍灣偉業街33號,0
百樂金宴,九龍灣宏光道39 號,3.6
明興美食,九龍灣啓業道18號,0
素食軒,九龍九龍灣展貿徑1號,4.5
煮場館,牛頭角道77號,0
超人燒鵝,牛頭角道15號,2.7
德利美食,九龍牛頭角彩福邨第三期地下,2.1
興華美食,九龍九龍灣宏開道13號,2
禮記外賣站,九龍灣宏開道13號,2.6
禮記美食中心,宏泰道12號,3.3
Market Place ,九龍灣偉業街33號,3.7
李記快餐店,上水符興街1號,1.5
盛意小館,龍琛路14號,4.3
惠康超級廣場,上水智昌路9號,5
膳廚,上水新成路88號,3
上環食堂,皇后大道中222-226 號,3.7
千鳥美食,上環東來里2號,4.5
北冰洋,永樂街58號,4.3
平記餐廳,皇后大道西165號,3.6
百姓飯店,上環皇后大道中345號,4
岱民上環店,上環文咸東街60-62號,3.9
知飯,上環蘇杭街138號,4
星星小菜,上環皇后大道中345號,4
望月軒 ,上環干諾道中168-200號,3.8
添飯餸,蘇杭街 1 號,4.2
麥銳記大眾福食,上環皇后大道中345號,3
尋味兩餸飯,上環永和街17號,5
雲記美食,上環皇后大道中305-313號,4
德記茶餐廳,上環畢街3號,3.2
寶興美食快餐,高陞街48-66號,0
9號美食,馬頭圍道450號,3.3
三多美食,北帝街27號,4.7
三寶小食,土瓜灣馬頭圍道354號,0
佳記茶餐廰,土瓜灣馬頭圍道165號,3.5
泰靚小廚,馬頭角道58號,0
高山三和美食,土瓜灣馬頭角道9號,0
港明美食,土瓜灣道249-259號,0
熊貓美食,土瓜灣道275號,2.5
譽記美食,土瓜灣馬坑涌道2C號,0
Fusion,九龍土瓜灣馬頭角道33號,3.8
包點鉅人,大角咀道113號,2.8
金潤餐廳,博文街16號,3.8
健康煮意,大角咀海庭道18號,4.3
陳明發燒味館,大角咀塘尾道55號,3.2
廣潤美食,大角咀埃華街63號,2.9
Market Place,大角咀海庭號18號,4
4號烤吧,翠樂街6號,3.7
一田超市,大埔安邦路8-10號,4
包點先生,大埔廣福道100號,2
好味美食,懷仁街2號,0
岱民大埔店,大埔安埔路12號,4.5
岱民廣福店,寶湖道28號,0
玲瓏巧點功房,安慈路3號,3
紅葉開飯,大埔鄉事會街19號,1
家常便飯,汀角路17號,4
高山,廣福道103A,0
彬客料理,安泰路1號,3
德利小廚,大埔太和路12號,3.5
三餸一湯,大圍道46號,3.3
盆滿缽滿,大圍美田路30號,0
超人燒鵝,大圍道1-35號,5
四季美食,大窩口道15號,3.1
岱民荃灣店,,4
岱民本灣店,小西灣道10號,5
香港人兩餸飯,小西灣小西灣道9號,2
超人燒鵝,柴灣小西灣道23號,2
岱民中環店,中環嘉咸街5號 ,4.1
河內小廚,中環機利文新街8-12號,1
添飯餸,中環威靈頓街49a號,3.5
福祿壽健康素食,中環鐵行里 8號地下 ,4
KiKusan,畢打街15號,4.1
元朗小炒王,元朗炮仗坊11號,4
民天廚房,元朗泰衡街2-6號,3.5
民旺元朗店,元朗鳳琴街22號,1
众興燒臘飯店,元朗福德街44號,4
好滿意美食,元朗安寧路136A,0
幸運來美食,俊賢坊18號,3.3
金稻苑餐廳,元朗同樂街10-16號,1
家之味美食,壽富街33,0
高山,安寧路138號,0
添添廚房,鳯攸南街3號,4.2
蛇王品,元朗又新街7-25號,3.9
富成,元朗橋壽徑,4
齊記美食,屏昌徑14-48號,3.7
億家餸元朗店,元朗鳳翔路69號,1
餸師傅元朗店,元朗同樂街16號,0
UNY生活創庫,新界元朗教育路1號,3.9
住家菜,天水圍天湖路1號,4.5
迪自由快餐,天瑞路88號,5
家之味美食,天水圍天澤街市,2.8
家常便飯,天水圍天靖街3號,0
超人燒鵝,天水圍天瑞路88號,2.7
鼎笙食坊,天水圍天瑞路9號,0
龍華開心美食,天水圍天湖路1號,0
Fusion BY PARKnSHOP,天水圍天華路33號,3.7
